MetinID,Ort_Kelime_Boyu,Ort_Cumle_Boyu,Noktalama_Orani,Zenginlik_Endeksi,Tekrarlayan_Kelime_Orani,Zarf_Orani,Sifat_Orani,Pasif_Cumle_Orani,Baglac_Orani,Yazar_Sinifi
TXT_0262,5.46,21.27,0.116,0.67,0.12,0.072,0.134,0.021,0.052,Halide_Edip
TXT_0263,5.64,20.89,0.156,0.7,0.111,0.067,0.119,0.082,0.133,Ahmet_Hamdi
TXT_0264,5.95,27.96,0.177,0.8,0.131,0.07,0.15,0.051,0.097,Ahmet_Hamdi
TXT_0265,5.5,16.17,0.133,0.68,0.119,0.053,0.136,0.053,0.124,Peyami_Safa
TXT_0266,5.47,17.35,0.145,0.7,0.101,0.118,0.117,0.088,0.086,Peyami_Safa
TXT_0267,5.33,17.3,0.116,0.71,0.205,0.071,0.154,0.095,0.106,Halide_Edip
TXT_0268,5.09,17.93,0.102,0.62,0.175,0.099,0.15,0.05,0.071,Halide_Edip
TXT_0269,5.88,27.45,0.14,0.82,0.249,0.117,0.097,0.078,0.09,Ahmet_Hamdi
TXT_0270,6.3,22.27,0.149,0.71,0.127,0.09,0.115,0.038,0.064,Ahmet_Hamdi
TXT_0271,6.05,23.14,0.129,0.7,0.168,0.103,0.094,0.059,0.114,Peyami_Safa
TXT_0272,5.56,24.26,0.132,0.83,0.218,0.069,0.168,0.041,0.128,Ahmet_Hamdi
TXT_0273,5.8,18.15,0.126,0.7,0.234,0.103,0.138,0.072,0.113,Peyami_Safa
TXT_0274,5.92,25.68,0.133,0.74,0.143,0.113,0.094,0.023,0.084,Ahmet_Hamdi
TXT_0275,5.63,20.32,0.152,0.72,0.208,0.074,0.093,0.081,0.129,Peyami_Safa
TXT_0276,5.26,19.75,0.102,0.66,0.154,0.118,0.152,0.075,0.114,Halide_Edip
TXT_0277,5.15,16.8,0.098,0.61,0.223,0.111,0.175,0.06,0.13,Halide_Edip
TXT_0278,5.04,20.51,0.12,0.68,0.114,0.08,0.096,0.041,0.067,Halide_Edip
TXT_0279,5.57,16.6,0.096,0.71,0.167,0.1,0.161,0.09,0.079,Halide_Edip
TXT_0280,5.18,15.13,0.103,0.74,0.104,0.082,0.122,0.08,0.106,Halide_Edip
TXT_0281,5.77,19.05,0.12,0.7,0.105,0.056,0.132,0.09,0.148,Peyami_Safa
TXT_0282,6.25,24.97,0.123,0.73,0.244,0.087,0.145,0.038,0.148,Ahmet_Hamdi
TXT_0283,5.91,27.18,0.148,0.76,0.199,0.071,0.14,0.062,0.044,Ahmet_Hamdi
TXT_0284,5.13,16.43,0.092,0.66,0.247,0.092,0.14,0.029,0.119,Halide_Edip
TXT_0285,5.21,14.4,0.112,0.69,0.162,0.071,0.093,0.024,0.128,Halide_Edip
TXT_0286,5.48,16.78,0.149,0.68,0.104,0.096,0.173,0.095,0.146,Peyami_Safa
TXT_0287,5.95,20.54,0.136,0.79,0.17,0.105,0.179,0.093,0.097,Peyami_Safa
TXT_0288,5.48,19.21,0.129,0.71,0.16,0.085,0.145,0.1,0.077,Halide_Edip
TXT_0289,5.21,19.41,0.123,0.76,0.207,0.092,0.133,0.031,0.135,Peyami_Safa
TXT_0290,5.99,27.31,0.149,0.73,0.135,0.094,0.157,0.026,0.069,Ahmet_Hamdi
TXT_0291,5.36,17.83,0.137,0.74,0.143,0.098,0.171,0.08,0.086,Halide_Edip
TXT_0292,6.31,22.7,0.161,0.76,0.105,0.083,0.137,0.073,0.076,Ahmet_Hamdi
TXT_0293,5.55,20.51,0.112,0.72,0.121,0.064,0.1,0.083,0.117,Peyami_Safa
TXT_0294,5.41,19.28,0.117,0.71,0.215,0.086,0.117,0.023,0.117,Halide_Edip
TXT_0295,5.03,17.17,0.112,0.68,0.164,0.071,0.169,0.056,0.053,Halide_Edip
TXT_0296,4.96,19.51,0.129,0.73,0.147,0.056,0.163,0.075,0.064,Halide_Edip
TXT_0297,5.55,20.02,0.128,0.67,0.221,0.085,0.112,0.042,0.095,Halide_Edip
TXT_0298,5.39,23.61,0.121,0.7,0.147,0.059,0.118,0.031,0.106,Peyami_Safa
TXT_0299,5.34,18.85,0.094,0.73,0.226,0.052,0.086,0.024,0.131,Halide_Edip
TXT_0300,6.23,21.31,0.137,0.75,0.119,0.107,0.096,0.074,0.1,Ahmet_Hamdi
TXT_0301,6.02,21.57,0.124,0.7,0.219,0.1,0.087,0.063,0.148,Ahmet_Hamdi
TXT_0302,6.27,25.33,0.149,0.83,0.112,0.101,0.103,0.072,0.09,Ahmet_Hamdi
TXT_0303,5.88,20.4,0.139,0.72,0.205,0.106,0.14,0.034,0.094,Peyami_Safa
TXT_0304,5.74,20.64,0.152,0.72,0.21,0.117,0.084,0.08,0.074,Peyami_Safa
TXT_0305,5.3,19.04,0.127,0.73,0.224,0.067,0.086,0.045,0.136,Peyami_Safa
TXT_0306,5.52,23.34,0.164,0.79,0.1,0.08,0.129,0.066,0.133,Ahmet_Hamdi
TXT_0307,5.05,18.55,0.114,0.65,0.194,0.091,0.089,0.083,0.078,Halide_Edip
TXT_0308,6.03,20.31,0.13,0.81,0.153,0.093,0.175,0.076,0.125,Ahmet_Hamdi
TXT_0309,5.6,18.53,0.126,0.61,0.183,0.054,0.146,0.033,0.059,Halide_Edip
TXT_0310,5.76,20.31,0.169,0.73,0.123,0.062,0.18,0.068,0.067,Ahmet_Hamdi
TXT_0311,5.8,21.89,0.163,0.74,0.175,0.09,0.124,0.039,0.123,Ahmet_Hamdi
TXT_0312,5.64,18.28,0.124,0.75,0.179,0.095,0.095,0.041,0.128,Peyami_Safa
TXT_0313,5.58,20.18,0.101,0.65,0.238,0.106,0.157,0.093,0.094,Halide_Edip
TXT_0314,5.74,17.61,0.153,0.7,0.212,0.085,0.178,0.036,0.104,Peyami_Safa
TXT_0315,5.45,22.0,0.129,0.64,0.212,0.069,0.168,0.081,0.084,Halide_Edip
TXT_0316,6.21,19.76,0.157,0.84,0.136,0.089,0.156,0.05,0.073,Ahmet_Hamdi
TXT_0317,5.6,27.01,0.151,0.84,0.237,0.102,0.106,0.063,0.041,Ahmet_Hamdi
TXT_0318,5.06,18.1,0.107,0.6,0.179,0.057,0.158,0.038,0.052,Halide_Edip
TXT_0319,5.43,20.19,0.118,0.62,0.178,0.093,0.133,0.05,0.069,Halide_Edip
TXT_0320,4.98,15.4,0.139,0.65,0.159,0.087,0.146,0.066,0.13,Halide_Edip
TXT_0321,5.45,16.85,0.12,0.73,0.103,0.082,0.123,0.066,0.066,Halide_Edip
TXT_0322,5.79,23.55,0.141,0.67,0.127,0.061,0.119,0.065,0.14,Peyami_Safa
TXT_0323,5.68,25.57,0.133,0.74,0.176,0.105,0.177,0.097,0.105,Ahmet_Hamdi
TXT_0324,5.48,15.75,0.125,0.61,0.164,0.05,0.147,0.03,0.073,Halide_Edip
TXT_0325,4.89,20.35,0.125,0.66,0.117,0.119,0.105,0.069,0.134,Halide_Edip
TXT_0326,5.26,20.81,0.129,0.68,0.189,0.073,0.083,0.033,0.094,Peyami_Safa
TXT_0327,5.01,19.46,0.124,0.63,0.216,0.06,0.13,0.1,0.146,Halide_Edip
TXT_0328,5.67,22.06,0.151,0.66,0.222,0.058,0.13,0.095,0.054,Peyami_Safa
TXT_0329,5.26,23.33,0.153,0.69,0.236,0.089,0.156,0.041,0.051,Peyami_Safa
TXT_0330,5.98,16.78,0.126,0.74,0.12,0.057,0.118,0.053,0.123,Peyami_Safa
TXT_0331,5.67,14.2,0.092,0.62,0.168,0.097,0.114,0.094,0.129,Halide_Edip
TXT_0332,5.62,26.28,0.143,0.81,0.205,0.072,0.158,0.054,0.043,Ahmet_Hamdi
TXT_0333,5.28,14.35,0.114,0.65,0.186,0.107,0.085,0.071,0.05,Halide_Edip
TXT_0334,5.89,21.75,0.154,0.7,0.109,0.091,0.127,0.059,0.095,Peyami_Safa
TXT_0335,6.1,20.67,0.172,0.7,0.208,0.098,0.105,0.031,0.054,Ahmet_Hamdi
TXT_0336,5.29,19.3,0.097,0.65,0.152,0.076,0.173,0.081,0.115,Halide_Edip
TXT_0337,5.52,22.61,0.175,0.84,0.242,0.114,0.152,0.038,0.091,Ahmet_Hamdi
TXT_0338,5.96,26.98,0.155,0.72,0.163,0.062,0.131,0.058,0.091,Ahmet_Hamdi
TXT_0339,5.56,20.56,0.155,0.76,0.105,0.087,0.144,0.041,0.078,Peyami_Safa
TXT_0340,5.26,17.69,0.113,0.78,0.119,0.099,0.179,0.03,0.106,Peyami_Safa
TXT_0341,5.03,21.17,0.097,0.75,0.153,0.112,0.155,0.067,0.087,Halide_Edip
TXT_0342,5.9,21.25,0.159,0.8,0.112,0.099,0.117,0.06,0.068,Ahmet_Hamdi
TXT_0343,5.55,22.06,0.143,0.76,0.168,0.073,0.146,0.051,0.069,Ahmet_Hamdi
TXT_0344,5.4,16.7,0.134,0.6,0.168,0.086,0.115,0.05,0.13,Halide_Edip
TXT_0345,5.17,20.16,0.13,0.61,0.145,0.107,0.154,0.076,0.062,Halide_Edip
TXT_0346,4.98,19.51,0.105,0.75,0.139,0.09,0.167,0.098,0.092,Halide_Edip
TXT_0347,4.91,17.37,0.112,0.64,0.151,0.053,0.151,0.089,0.046,Halide_Edip
TXT_0348,5.65,25.81,0.166,0.71,0.168,0.059,0.148,0.042,0.096,Ahmet_Hamdi
TXT_0349,5.9,19.05,0.161,0.75,0.164,0.119,0.144,0.072,0.103,Ahmet_Hamdi
TXT_0350,6.09,18.0,0.112,0.8,0.171,0.054,0.146,0.03,0.12,Peyami_Safa
TXT_0351,5.38,16.05,0.148,0.67,0.215,0.101,0.106,0.062,0.114,Peyami_Safa
TXT_0352,5.27,14.51,0.137,0.64,0.171,0.069,0.134,0.071,0.048,Halide_Edip
TXT_0353,5.3,18.52,0.11,0.75,0.192,0.094,0.127,0.072,0.102,Halide_Edip
TXT_0354,5.47,21.38,0.133,0.69,0.167,0.104,0.084,0.024,0.126,Peyami_Safa
TXT_0355,5.1,15.37,0.12,0.74,0.221,0.097,0.144,0.03,0.11,Halide_Edip
TXT_0356,4.86,16.39,0.137,0.74,0.17,0.068,0.169,0.058,0.061,Halide_Edip
TXT_0357,6.05,22.02,0.114,0.69,0.154,0.074,0.104,0.051,0.099,Peyami_Safa
TXT_0358,5.75,24.01,0.159,0.82,0.24,0.071,0.151,0.064,0.058,Ahmet_Hamdi
TXT_0359,6.19,26.96,0.131,0.78,0.229,0.069,0.144,0.021,0.088,Ahmet_Hamdi
TXT_0360,6.38,23.23,0.167,0.83,0.231,0.072,0.167,0.024,0.094,Ahmet_Hamdi
TXT_0361,5.73,21.72,0.102,0.65,0.109,0.06,0.087,0.05,0.112,Halide_Edip
TXT_0362,5.55,17.33,0.152,0.78,0.191,0.061,0.102,0.039,0.09,Peyami_Safa
TXT_0363,5.27,14.21,0.117,0.61,0.208,0.097,0.147,0.044,0.053,Halide_Edip
TXT_0364,5.42,22.86,0.112,0.72,0.222,0.078,0.162,0.062,0.147,Peyami_Safa
TXT_0365,5.52,21.28,0.16,0.68,0.153,0.102,0.103,0.039,0.142,Peyami_Safa
TXT_0366,5.53,17.0,0.131,0.79,0.209,0.09,0.13,0.073,0.058,Peyami_Safa
TXT_0367,6.12,20.3,0.146,0.75,0.153,0.088,0.101,0.052,0.141,Ahmet_Hamdi
TXT_0368,5.25,20.85,0.103,0.72,0.152,0.091,0.166,0.044,0.054,Halide_Edip
TXT_0369,5.86,27.41,0.158,0.75,0.167,0.114,0.156,0.031,0.077,Ahmet_Hamdi
TXT_0370,6.05,19.86,0.155,0.78,0.192,0.077,0.158,0.063,0.055,Peyami_Safa
TXT_0371,6.46,22.31,0.161,0.82,0.122,0.107,0.161,0.085,0.075,Ahmet_Hamdi
TXT_0372,5.03,15.86,0.092,0.73,0.188,0.051,0.162,0.096,0.142,Halide_Edip
TXT_0373,4.99,17.42,0.101,0.62,0.221,0.085,0.085,0.023,0.116,Halide_Edip
TXT_0374,5.86,23.38,0.159,0.82,0.183,0.062,0.175,0.058,0.067,Ahmet_Hamdi
TXT_0375,5.36,19.65,0.103,0.64,0.195,0.097,0.157,0.095,0.133,Halide_Edip
TXT_0376,5.49,16.94,0.1,0.66,0.135,0.09,0.131,0.032,0.088,Halide_Edip
TXT_0377,5.42,18.38,0.138,0.8,0.181,0.078,0.114,0.031,0.06,Peyami_Safa
TXT_0378,5.66,20.57,0.178,0.77,0.234,0.092,0.136,0.047,0.08,Ahmet_Hamdi
TXT_0379,5.8,18.86,0.123,0.74,0.154,0.05,0.083,0.077,0.05,Halide_Edip
TXT_0380,5.16,14.87,0.127,0.67,0.195,0.109,0.085,0.055,0.131,Halide_Edip
TXT_0381,6.18,21.59,0.126,0.74,0.22,0.066,0.126,0.079,0.068,Peyami_Safa
TXT_0382,5.6,23.66,0.148,0.75,0.206,0.091,0.151,0.091,0.125,Peyami_Safa
TXT_0383,5.81,18.43,0.121,0.71,0.248,0.053,0.166,0.069,0.064,Peyami_Safa
TXT_0384,6.25,27.48,0.141,0.83,0.22,0.106,0.113,0.091,0.145,Ahmet_Hamdi
TXT_0385,5.63,21.19,0.119,0.75,0.211,0.114,0.18,0.099,0.071,Peyami_Safa
TXT_0386,6.23,24.65,0.133,0.73,0.22,0.115,0.106,0.073,0.062,Ahmet_Hamdi
TXT_0387,5.91,22.04,0.147,0.73,0.188,0.104,0.139,0.052,0.067,Ahmet_Hamdi
TXT_0388,5.73,20.56,0.098,0.68,0.163,0.051,0.18,0.068,0.112,Halide_Edip
TXT_0389,5.5,19.04,0.115,0.67,0.23,0.113,0.178,0.06,0.139,Halide_Edip
TXT_0390,5.97,25.11,0.151,0.76,0.153,0.072,0.149,0.059,0.136,Ahmet_Hamdi
TXT_0391,5.52,18.95,0.147,0.78,0.216,0.061,0.152,0.085,0.128,Peyami_Safa
TXT_0392,5.33,24.41,0.135,0.68,0.163,0.106,0.152,0.091,0.04,Peyami_Safa
TXT_0393,5.63,20.38,0.098,0.71,0.193,0.065,0.175,0.085,0.04,Halide_Edip
TXT_0394,5.29,21.14,0.101,0.75,0.114,0.103,0.154,0.075,0.09,Halide_Edip
TXT_0395,6.09,25.03,0.13,0.71,0.145,0.118,0.174,0.048,0.044,Ahmet_Hamdi
TXT_0396,5.25,16.92,0.129,0.66,0.126,0.08,0.177,0.043,0.113,Halide_Edip
TXT_0397,5.61,21.25,0.151,0.77,0.102,0.054,0.146,0.059,0.109,Peyami_Safa
TXT_0398,4.93,16.62,0.133,0.69,0.174,0.085,0.081,0.096,0.136,Halide_Edip
TXT_0399,5.75,20.69,0.136,0.64,0.113,0.073,0.081,0.081,0.062,Halide_Edip
TXT_0400,6.07,18.55,0.145,0.76,0.111,0.052,0.106,0.02,0.041,Ahmet_Hamdi
TXT_0401,6.33,18.04,0.156,0.76,0.222,0.115,0.107,0.078,0.137,Ahmet_Hamdi
TXT_0402,5.67,18.57,0.109,0.73,0.195,0.101,0.13,0.023,0.146,Halide_Edip
TXT_0403,6.22,23.45,0.146,0.85,0.183,0.073,0.08,0.094,0.079,Ahmet_Hamdi
TXT_0404,5.76,14.67,0.134,0.62,0.199,0.056,0.147,0.038,0.129,Halide_Edip
TXT_0405,5.7,21.86,0.155,0.82,0.171,0.074,0.081,0.053,0.149,Ahmet_Hamdi
TXT_0406,5.98,21.02,0.179,0.74,0.199,0.057,0.108,0.077,0.122,Ahmet_Hamdi
TXT_0407,5.57,17.26,0.116,0.7,0.136,0.065,0.165,0.054,0.107,Halide_Edip
TXT_0408,5.37,17.71,0.102,0.67,0.161,0.065,0.099,0.075,0.131,Halide_Edip
TXT_0409,6.14,27.16,0.164,0.77,0.182,0.101,0.1,0.067,0.104,Ahmet_Hamdi
TXT_0410,5.8,18.47,0.155,0.72,0.166,0.091,0.12,0.045,0.109,Peyami_Safa
TXT_0411,5.45,19.69,0.142,0.73,0.224,0.077,0.087,0.038,0.148,Peyami_Safa
TXT_0412,6.12,20.01,0.147,0.77,0.131,0.102,0.176,0.084,0.051,Ahmet_Hamdi
TXT_0413,4.86,16.53,0.1,0.69,0.172,0.101,0.101,0.036,0.068,Halide_Edip
TXT_0414,5.72,22.35,0.12,0.8,0.137,0.099,0.177,0.022,0.048,Ahmet_Hamdi
TXT_0415,6.49,26.08,0.168,0.75,0.102,0.063,0.1,0.087,0.045,Ahmet_Hamdi
TXT_0416,5.78,22.18,0.136,0.83,0.106,0.066,0.121,0.075,0.103,Ahmet_Hamdi
TXT_0417,5.84,18.6,0.139,0.73,0.186,0.105,0.145,0.041,0.107,Peyami_Safa
TXT_0418,6.07,21.75,0.123,0.73,0.137,0.108,0.086,0.084,0.113,Ahmet_Hamdi
TXT_0419,5.36,18.17,0.09,0.66,0.222,0.087,0.081,0.021,0.071,Halide_Edip
TXT_0420,5.79,20.62,0.134,0.69,0.217,0.088,0.122,0.027,0.124,Peyami_Safa
TXT_0421,5.38,17.19,0.109,0.69,0.175,0.104,0.175,0.044,0.117,Halide_Edip
TXT_0422,6.29,18.8,0.156,0.83,0.104,0.084,0.157,0.051,0.08,Ahmet_Hamdi
TXT_0423,6.38,19.12,0.132,0.76,0.181,0.077,0.167,0.08,0.071,Ahmet_Hamdi
TXT_0424,5.87,18.71,0.133,0.72,0.15,0.075,0.159,0.042,0.107,Peyami_Safa
TXT_0425,5.66,18.83,0.106,0.6,0.175,0.118,0.114,0.039,0.092,Halide_Edip
TXT_0426,5.45,16.31,0.135,0.69,0.209,0.118,0.138,0.093,0.105,Halide_Edip
TXT_0427,5.01,20.39,0.13,0.61,0.103,0.065,0.081,0.046,0.071,Halide_Edip
TXT_0428,5.4,17.48,0.119,0.7,0.152,0.097,0.092,0.056,0.13,Peyami_Safa
TXT_0429,6.33,22.56,0.179,0.74,0.123,0.086,0.086,0.041,0.047,Ahmet_Hamdi
TXT_0430,5.33,17.37,0.112,0.73,0.148,0.08,0.098,0.076,0.109,Halide_Edip
TXT_0431,6.09,19.23,0.133,0.69,0.104,0.07,0.137,0.063,0.137,Peyami_Safa
TXT_0432,5.12,14.68,0.107,0.68,0.147,0.078,0.169,0.031,0.149,Halide_Edip
TXT_0433,5.59,19.75,0.134,0.73,0.228,0.105,0.088,0.023,0.141,Peyami_Safa
TXT_0434,5.1,19.42,0.127,0.66,0.187,0.097,0.161,0.075,0.146,Halide_Edip
TXT_0435,5.39,15.6,0.116,0.62,0.237,0.077,0.134,0.093,0.119,Halide_Edip
TXT_0436,5.67,19.5,0.168,0.71,0.108,0.083,0.116,0.038,0.05,Ahmet_Hamdi
TXT_0437,5.34,20.47,0.143,0.76,0.186,0.085,0.099,0.071,0.06,Peyami_Safa
TXT_0438,5.26,19.22,0.093,0.62,0.175,0.062,0.151,0.095,0.134,Halide_Edip
TXT_0439,5.8,19.45,0.107,0.72,0.133,0.057,0.158,0.07,0.146,Halide_Edip
TXT_0440,5.92,23.66,0.134,0.67,0.101,0.077,0.091,0.029,0.144,Peyami_Safa
TXT_0441,5.24,20.52,0.116,0.74,0.106,0.088,0.148,0.036,0.084,Halide_Edip
TXT_0442,5.47,16.05,0.095,0.6,0.145,0.055,0.173,0.033,0.108,Halide_Edip
TXT_0443,5.64,19.58,0.105,0.62,0.115,0.117,0.134,0.037,0.1,Halide_Edip
TXT_0444,5.24,18.08,0.11,0.67,0.176,0.074,0.105,0.046,0.1,Halide_Edip
TXT_0445,5.47,20.58,0.097,0.71,0.146,0.075,0.166,0.048,0.093,Halide_Edip
TXT_0446,5.51,19.37,0.135,0.73,0.205,0.085,0.083,0.05,0.05,Halide_Edip
TXT_0447,6.49,25.83,0.168,0.85,0.171,0.096,0.141,0.053,0.045,Ahmet_Hamdi
TXT_0448,6.0,22.54,0.143,0.73,0.14,0.082,0.127,0.041,0.107,Ahmet_Hamdi
TXT_0449,5.59,15.46,0.116,0.66,0.121,0.086,0.175,0.071,0.137,Halide_Edip
TXT_0450,5.05,18.38,0.136,0.65,0.22,0.11,0.082,0.041,0.082,Halide_Edip
TXT_0451,5.82,21.01,0.112,0.77,0.217,0.083,0.149,0.09,0.061,Peyami_Safa
TXT_0452,5.26,21.82,0.138,0.74,0.139,0.106,0.126,0.058,0.091,Halide_Edip
TXT_0453,5.75,19.68,0.138,0.73,0.236,0.077,0.108,0.065,0.056,Peyami_Safa
TXT_0454,5.58,25.31,0.125,0.83,0.177,0.088,0.092,0.087,0.062,Ahmet_Hamdi
TXT_0455,5.03,21.81,0.107,0.73,0.213,0.078,0.101,0.044,0.049,Halide_Edip
TXT_0456,5.32,16.23,0.138,0.69,0.202,0.066,0.135,0.069,0.108,Halide_Edip
TXT_0457,5.42,22.01,0.12,0.76,0.146,0.093,0.124,0.049,0.048,Peyami_Safa
TXT_0458,6.12,27.14,0.141,0.71,0.169,0.069,0.168,0.032,0.057,Ahmet_Hamdi
TXT_0459,5.52,16.69,0.115,0.72,0.132,0.1,0.129,0.069,0.051,Peyami_Safa
TXT_0460,6.28,22.23,0.165,0.7,0.102,0.106,0.151,0.023,0.149,Ahmet_Hamdi
TXT_0461,5.53,24.87,0.148,0.68,0.219,0.112,0.126,0.031,0.103,Peyami_Safa
TXT_0462,6.12,18.42,0.167,0.73,0.245,0.097,0.174,0.095,0.104,Ahmet_Hamdi
TXT_0463,6.08,21.69,0.143,0.79,0.24,0.084,0.092,0.031,0.105,Ahmet_Hamdi
TXT_0464,5.69,18.59,0.107,0.7,0.182,0.094,0.163,0.047,0.147,Halide_Edip
TXT_0465,5.67,16.7,0.155,0.7,0.119,0.077,0.133,0.099,0.135,Peyami_Safa
TXT_0466,5.5,18.73,0.114,0.72,0.249,0.076,0.167,0.034,0.059,Halide_Edip
TXT_0467,5.92,22.0,0.13,0.68,0.104,0.067,0.121,0.079,0.093,Peyami_Safa
TXT_0468,5.02,16.22,0.093,0.62,0.111,0.097,0.174,0.024,0.099,Halide_Edip
TXT_0469,4.93,14.26,0.093,0.69,0.203,0.093,0.111,0.036,0.06,Halide_Edip
TXT_0470,5.22,18.44,0.091,0.65,0.202,0.109,0.179,0.099,0.144,Halide_Edip
TXT_0471,6.29,20.02,0.176,0.74,0.241,0.103,0.132,0.058,0.121,Ahmet_Hamdi
TXT_0472,5.47,19.12,0.114,0.65,0.145,0.09,0.106,0.036,0.096,Halide_Edip
TXT_0473,6.4,26.22,0.123,0.76,0.197,0.103,0.098,0.043,0.097,Ahmet_Hamdi
TXT_0474,6.22,21.69,0.145,0.84,0.239,0.11,0.085,0.075,0.065,Ahmet_Hamdi
TXT_0475,5.25,22.8,0.156,0.66,0.216,0.068,0.092,0.089,0.063,Peyami_Safa
TXT_0476,4.92,14.38,0.113,0.67,0.227,0.101,0.103,0.079,0.084,Halide_Edip
TXT_0477,6.1,25.79,0.15,0.73,0.212,0.062,0.128,0.097,0.142,Ahmet_Hamdi
TXT_0478,5.43,19.77,0.125,0.67,0.193,0.104,0.163,0.039,0.147,Peyami_Safa
TXT_0479,6.13,18.44,0.123,0.65,0.188,0.097,0.144,0.043,0.133,Peyami_Safa
TXT_0480,6.14,19.89,0.133,0.81,0.226,0.081,0.144,0.064,0.116,Ahmet_Hamdi
TXT_0481,5.43,20.14,0.118,0.73,0.129,0.119,0.132,0.08,0.092,Halide_Edip
TXT_0482,5.46,18.03,0.154,0.72,0.25,0.071,0.084,0.098,0.103,Peyami_Safa
TXT_0483,5.3,18.95,0.156,0.76,0.123,0.071,0.094,0.099,0.119,Peyami_Safa
TXT_0484,6.2,20.65,0.135,0.76,0.179,0.08,0.145,0.048,0.045,Ahmet_Hamdi
TXT_0485,5.49,24.14,0.119,0.74,0.133,0.058,0.141,0.067,0.074,Peyami_Safa
TXT_0486,5.5,23.73,0.115,0.67,0.23,0.107,0.149,0.038,0.119,Peyami_Safa
TXT_0487,5.74,26.99,0.169,0.77,0.212,0.089,0.113,0.022,0.1,Ahmet_Hamdi
TXT_0488,5.54,17.2,0.146,0.66,0.185,0.053,0.116,0.02,0.043,Peyami_Safa
TXT_0489,5.61,18.6,0.121,0.74,0.189,0.116,0.162,0.081,0.142,Halide_Edip
TXT_0490,5.91,23.75,0.149,0.74,0.222,0.114,0.135,0.066,0.084,Peyami_Safa
TXT_0491,5.96,23.03,0.151,0.74,0.103,0.092,0.119,0.045,0.086,Peyami_Safa
TXT_0492,5.81,21.93,0.157,0.76,0.142,0.099,0.138,0.065,0.089,Peyami_Safa
TXT_0493,5.5,21.43,0.13,0.72,0.161,0.074,0.175,0.07,0.095,Peyami_Safa
TXT_0494,5.76,20.53,0.126,0.76,0.147,0.096,0.117,0.071,0.131,Ahmet_Hamdi
TXT_0495,5.78,23.34,0.113,0.78,0.22,0.076,0.131,0.064,0.091,Peyami_Safa
TXT_0496,5.31,19.34,0.094,0.61,0.181,0.059,0.17,0.025,0.098,Halide_Edip
TXT_0497,5.81,26.21,0.179,0.75,0.209,0.097,0.081,0.069,0.089,Ahmet_Hamdi
TXT_0498,5.13,18.66,0.119,0.73,0.149,0.053,0.126,0.048,0.137,Halide_Edip
TXT_0499,5.68,19.41,0.133,0.61,0.166,0.073,0.119,0.059,0.142,Halide_Edip
TXT_0500,5.21,19.31,0.107,0.71,0.216,0.068,0.15,0.023,0.089,Halide_Edip
TXT_0501,5.68,16.0,0.138,0.67,0.149,0.088,0.089,0.043,0.073,Halide_Edip
TXT_0502,5.31,19.64,0.118,0.67,0.149,0.091,0.105,0.063,0.107,Peyami_Safa
TXT_0503,5.11,19.0,0.131,0.68,0.166,0.112,0.099,0.08,0.108,Halide_Edip
TXT_0504,5.85,17.2,0.14,0.73,0.187,0.108,0.082,0.043,0.108,Peyami_Safa
TXT_0505,5.77,17.17,0.117,0.74,0.238,0.076,0.091,0.068,0.116,Halide_Edip
TXT_0506,6.17,20.14,0.117,0.69,0.162,0.104,0.089,0.029,0.119,Peyami_Safa
TXT_0507,4.86,17.83,0.095,0.72,0.162,0.065,0.1,0.064,0.066,Halide_Edip
TXT_0508,6.37,18.9,0.146,0.72,0.234,0.105,0.12,0.024,0.085,Ahmet_Hamdi
TXT_0509,6.11,26.49,0.131,0.78,0.211,0.073,0.123,0.02,0.123,Ahmet_Hamdi
TXT_0510,5.26,18.76,0.152,0.74,0.238,0.098,0.103,0.057,0.051,Peyami_Safa
TXT_0511,5.43,16.07,0.104,0.63,0.166,0.104,0.115,0.052,0.059,Halide_Edip
TXT_0512,5.92,22.92,0.173,0.83,0.226,0.059,0.124,0.073,0.087,Ahmet_Hamdi
TXT_0513,5.31,15.68,0.121,0.62,0.17,0.094,0.089,0.065,0.049,Halide_Edip
TXT_0514,5.65,20.68,0.157,0.8,0.123,0.098,0.13,0.031,0.08,Peyami_Safa
TXT_0515,5.63,16.02,0.117,0.69,0.152,0.056,0.179,0.04,0.121,Halide_Edip
TXT_0516,5.74,25.6,0.168,0.83,0.141,0.106,0.168,0.079,0.051,Ahmet_Hamdi
TXT_0517,5.19,21.36,0.126,0.73,0.219,0.12,0.084,0.03,0.112,Halide_Edip
TXT_0518,5.5,23.1,0.152,0.75,0.122,0.098,0.093,0.044,0.085,Peyami_Safa
TXT_0519,5.99,25.42,0.153,0.83,0.17,0.058,0.153,0.089,0.084,Ahmet_Hamdi
TXT_0520,5.79,18.36,0.132,0.73,0.207,0.071,0.125,0.033,0.13,Peyami_Safa
TXT_0521,5.91,16.64,0.143,0.79,0.185,0.072,0.113,0.1,0.08,Peyami_Safa
TXT_0522,5.69,21.47,0.111,0.77,0.239,0.057,0.172,0.049,0.118,Peyami_Safa
TXT_0523,5.32,20.62,0.125,0.64,0.171,0.118,0.125,0.036,0.07,Halide_Edip
TXT_0524,6.48,19.09,0.125,0.75,0.108,0.093,0.143,0.052,0.078,Ahmet_Hamdi
TXT_0525,6.13,16.61,0.154,0.68,0.156,0.065,0.095,0.068,0.075,Peyami_Safa
