TextID,Avg_Word_Length,Avg_Sentence_Length,Punctuation_Ratio,Richness_Index,Repetitive_Word_Ratio,Adverb_Ratio,Adjective_Ratio,Passive_Sentence_Ratio,Conjunction_Ratio,Author_Class
TXT_0263,6.17,22.43,0.112,0.68,0.209,0.103,0.115,0.037,0.045,Peyami_Safa
TXT_0264,5.55,25.35,0.179,0.83,0.119,0.06,0.096,0.055,0.062,Ahmet_Hamdi
TXT_0265,5.72,23.19,0.138,0.73,0.103,0.099,0.103,0.049,0.137,Ahmet_Hamdi
TXT_0266,6.28,23.19,0.135,0.84,0.248,0.108,0.098,0.055,0.064,Ahmet_Hamdi
TXT_0267,6.13,21.15,0.11,0.68,0.214,0.051,0.103,0.067,0.067,Peyami_Safa
TXT_0268,5.23,24.61,0.141,0.75,0.214,0.065,0.163,0.085,0.1,Peyami_Safa
TXT_0269,5.84,24.45,0.155,0.73,0.115,0.083,0.172,0.044,0.139,Ahmet_Hamdi
TXT_0270,5.15,16.08,0.106,0.73,0.142,0.088,0.126,0.034,0.108,Halide_Edip
TXT_0271,5.6,19.78,0.156,0.84,0.214,0.098,0.135,0.087,0.045,Ahmet_Hamdi
TXT_0272,5.4,17.17,0.124,0.74,0.216,0.057,0.146,0.098,0.099,Halide_Edip
TXT_0273,5.78,14.24,0.101,0.7,0.217,0.115,0.169,0.024,0.143,Halide_Edip
TXT_0274,5.27,15.26,0.093,0.63,0.228,0.069,0.125,0.046,0.073,Halide_Edip
TXT_0275,6.24,26.3,0.126,0.79,0.211,0.059,0.121,0.076,0.109,Ahmet_Hamdi
TXT_0276,6.14,18.5,0.123,0.73,0.189,0.079,0.103,0.033,0.087,Peyami_Safa
TXT_0277,5.96,19.68,0.111,0.74,0.116,0.057,0.129,0.034,0.099,Peyami_Safa
TXT_0278,6.0,22.36,0.131,0.71,0.113,0.08,0.15,0.042,0.134,Peyami_Safa
TXT_0279,5.47,16.65,0.132,0.78,0.161,0.086,0.135,0.052,0.12,Peyami_Safa
TXT_0280,4.86,14.63,0.117,0.67,0.148,0.057,0.13,0.039,0.14,Halide_Edip
TXT_0281,5.61,18.93,0.14,0.66,0.129,0.117,0.084,0.06,0.113,Peyami_Safa
TXT_0282,6.03,23.18,0.117,0.77,0.185,0.063,0.145,0.029,0.095,Peyami_Safa
TXT_0283,5.21,18.59,0.124,0.75,0.242,0.06,0.175,0.024,0.107,Peyami_Safa
TXT_0284,5.73,25.6,0.147,0.73,0.145,0.12,0.13,0.044,0.102,Ahmet_Hamdi
TXT_0285,6.33,18.95,0.144,0.75,0.198,0.064,0.129,0.095,0.056,Ahmet_Hamdi
TXT_0286,6.48,22.42,0.18,0.72,0.178,0.114,0.084,0.033,0.086,Ahmet_Hamdi
TXT_0287,5.21,21.44,0.11,0.65,0.232,0.063,0.164,0.023,0.071,Peyami_Safa
TXT_0288,5.6,21.81,0.134,0.72,0.167,0.075,0.172,0.072,0.118,Ahmet_Hamdi
TXT_0289,5.52,16.36,0.09,0.74,0.17,0.096,0.156,0.059,0.097,Halide_Edip
TXT_0290,6.36,18.84,0.136,0.72,0.129,0.099,0.103,0.096,0.114,Ahmet_Hamdi
TXT_0291,5.83,18.85,0.151,0.72,0.222,0.076,0.123,0.044,0.076,Ahmet_Hamdi
TXT_0292,5.59,22.28,0.111,0.74,0.161,0.08,0.112,0.059,0.134,Peyami_Safa
TXT_0293,6.49,23.64,0.178,0.74,0.109,0.06,0.133,0.042,0.104,Ahmet_Hamdi
TXT_0294,5.22,20.04,0.133,0.79,0.113,0.066,0.113,0.09,0.094,Peyami_Safa
TXT_0295,5.06,14.05,0.095,0.65,0.23,0.112,0.115,0.061,0.086,Halide_Edip
TXT_0296,5.57,20.61,0.171,0.8,0.184,0.115,0.18,0.073,0.13,Ahmet_Hamdi
TXT_0297,5.38,20.06,0.105,0.71,0.218,0.052,0.14,0.023,0.126,Halide_Edip
TXT_0298,5.9,20.82,0.159,0.81,0.101,0.069,0.178,0.021,0.091,Ahmet_Hamdi
TXT_0299,5.95,26.73,0.13,0.81,0.164,0.093,0.131,0.087,0.123,Ahmet_Hamdi
TXT_0300,6.15,17.47,0.139,0.76,0.221,0.078,0.118,0.052,0.106,Peyami_Safa
TXT_0301,5.33,19.93,0.153,0.79,0.129,0.091,0.147,0.097,0.119,Peyami_Safa
TXT_0302,5.63,20.47,0.141,0.79,0.163,0.12,0.172,0.076,0.043,Ahmet_Hamdi
TXT_0303,6.16,25.66,0.166,0.75,0.106,0.065,0.126,0.085,0.138,Ahmet_Hamdi
TXT_0304,5.44,14.38,0.102,0.65,0.151,0.104,0.125,0.028,0.053,Halide_Edip
TXT_0305,4.83,15.16,0.137,0.62,0.166,0.1,0.091,0.023,0.061,Halide_Edip
TXT_0306,5.55,16.08,0.101,0.65,0.202,0.089,0.111,0.052,0.092,Halide_Edip
TXT_0307,5.39,21.09,0.118,0.69,0.247,0.062,0.13,0.098,0.055,Halide_Edip
TXT_0308,5.88,24.28,0.127,0.78,0.156,0.104,0.128,0.083,0.132,Ahmet_Hamdi
TXT_0309,4.89,17.45,0.094,0.69,0.169,0.076,0.08,0.095,0.061,Halide_Edip
TXT_0310,6.21,23.9,0.17,0.84,0.22,0.084,0.087,0.073,0.13,Ahmet_Hamdi
TXT_0311,5.59,22.9,0.129,0.73,0.218,0.089,0.121,0.021,0.13,Ahmet_Hamdi
TXT_0312,5.85,24.86,0.137,0.76,0.229,0.096,0.09,0.046,0.121,Peyami_Safa
TXT_0313,5.31,19.82,0.134,0.71,0.228,0.059,0.149,0.097,0.057,Halide_Edip
TXT_0314,5.97,20.52,0.136,0.79,0.224,0.1,0.106,0.038,0.087,Ahmet_Hamdi
TXT_0315,5.91,19.76,0.165,0.78,0.226,0.118,0.146,0.025,0.078,Ahmet_Hamdi
TXT_0316,6.18,23.69,0.145,0.8,0.167,0.055,0.148,0.038,0.068,Peyami_Safa
TXT_0317,6.05,16.66,0.125,0.73,0.201,0.108,0.165,0.072,0.129,Peyami_Safa
TXT_0318,5.47,16.51,0.15,0.65,0.123,0.066,0.098,0.038,0.116,Peyami_Safa
TXT_0319,5.51,16.86,0.124,0.63,0.2,0.073,0.166,0.083,0.112,Halide_Edip
TXT_0320,5.31,22.49,0.129,0.67,0.123,0.105,0.08,0.062,0.062,Peyami_Safa
TXT_0321,5.8,19.06,0.126,0.76,0.174,0.068,0.164,0.068,0.08,Ahmet_Hamdi
TXT_0322,5.56,26.35,0.158,0.71,0.121,0.07,0.176,0.059,0.146,Ahmet_Hamdi
TXT_0323,5.16,19.95,0.107,0.66,0.13,0.108,0.165,0.024,0.132,Halide_Edip
TXT_0324,4.9,18.47,0.116,0.68,0.234,0.059,0.092,0.042,0.096,Halide_Edip
TXT_0325,5.85,23.85,0.15,0.7,0.144,0.08,0.173,0.033,0.097,Ahmet_Hamdi
TXT_0326,5.78,19.44,0.131,0.71,0.131,0.053,0.086,0.068,0.13,Peyami_Safa
TXT_0327,6.25,21.97,0.155,0.71,0.114,0.106,0.15,0.028,0.112,Ahmet_Hamdi
TXT_0328,4.99,20.37,0.091,0.66,0.176,0.085,0.129,0.085,0.092,Halide_Edip
TXT_0329,5.96,23.59,0.135,0.76,0.209,0.117,0.1,0.085,0.135,Ahmet_Hamdi
TXT_0330,5.37,16.11,0.092,0.66,0.18,0.056,0.084,0.078,0.133,Halide_Edip
TXT_0331,6.4,25.89,0.174,0.79,0.159,0.099,0.113,0.027,0.052,Ahmet_Hamdi
TXT_0332,5.88,22.24,0.172,0.72,0.127,0.082,0.118,0.087,0.106,Ahmet_Hamdi
TXT_0333,6.05,20.8,0.178,0.82,0.216,0.077,0.093,0.072,0.048,Ahmet_Hamdi
TXT_0334,5.25,15.87,0.118,0.67,0.219,0.053,0.171,0.072,0.111,Halide_Edip
TXT_0335,6.04,18.74,0.127,0.72,0.118,0.111,0.137,0.089,0.13,Ahmet_Hamdi
TXT_0336,5.88,20.82,0.148,0.83,0.138,0.095,0.17,0.071,0.108,Ahmet_Hamdi
TXT_0337,6.27,26.11,0.172,0.71,0.24,0.078,0.083,0.036,0.049,Ahmet_Hamdi
TXT_0338,6.07,24.82,0.151,0.76,0.125,0.093,0.111,0.048,0.07,Peyami_Safa
TXT_0339,4.96,19.08,0.139,0.65,0.202,0.114,0.126,0.065,0.104,Halide_Edip
TXT_0340,6.1,19.8,0.151,0.77,0.177,0.1,0.13,0.028,0.042,Peyami_Safa
TXT_0341,6.38,20.07,0.179,0.76,0.146,0.087,0.144,0.086,0.062,Ahmet_Hamdi
TXT_0342,5.97,16.08,0.139,0.79,0.245,0.097,0.139,0.065,0.07,Peyami_Safa
TXT_0343,5.82,19.37,0.153,0.77,0.161,0.114,0.102,0.08,0.097,Peyami_Safa
TXT_0344,5.1,19.93,0.116,0.66,0.226,0.087,0.083,0.076,0.123,Halide_Edip
TXT_0345,5.1,16.06,0.114,0.71,0.104,0.078,0.104,0.094,0.12,Halide_Edip
TXT_0346,5.99,20.77,0.125,0.78,0.138,0.087,0.158,0.053,0.099,Peyami_Safa
TXT_0347,5.91,20.56,0.139,0.75,0.156,0.118,0.139,0.028,0.145,Peyami_Safa
TXT_0348,5.72,25.57,0.147,0.81,0.205,0.051,0.098,0.064,0.129,Ahmet_Hamdi
TXT_0349,5.83,18.05,0.139,0.67,0.213,0.077,0.16,0.069,0.149,Peyami_Safa
TXT_0350,5.72,19.37,0.163,0.78,0.126,0.09,0.136,0.075,0.107,Ahmet_Hamdi
TXT_0351,5.83,26.28,0.153,0.78,0.212,0.095,0.12,0.073,0.072,Ahmet_Hamdi
TXT_0352,5.82,22.29,0.13,0.68,0.207,0.084,0.126,0.1,0.069,Peyami_Safa
TXT_0353,5.82,24.29,0.15,0.73,0.135,0.076,0.135,0.079,0.085,Peyami_Safa
TXT_0354,5.62,25.12,0.121,0.74,0.247,0.084,0.17,0.058,0.086,Ahmet_Hamdi
TXT_0355,5.89,20.81,0.156,0.79,0.198,0.066,0.129,0.06,0.116,Peyami_Safa
TXT_0356,6.36,22.52,0.144,0.72,0.226,0.097,0.146,0.052,0.072,Ahmet_Hamdi
TXT_0357,4.84,19.43,0.097,0.68,0.179,0.108,0.16,0.097,0.13,Halide_Edip
TXT_0358,5.91,20.45,0.162,0.76,0.199,0.075,0.156,0.078,0.053,Ahmet_Hamdi
TXT_0359,5.52,15.38,0.119,0.63,0.243,0.083,0.115,0.042,0.136,Halide_Edip
TXT_0360,6.11,19.95,0.126,0.75,0.124,0.055,0.124,0.02,0.142,Peyami_Safa
TXT_0361,5.09,17.05,0.111,0.7,0.227,0.08,0.163,0.086,0.093,Halide_Edip
TXT_0362,5.56,17.18,0.14,0.8,0.142,0.056,0.141,0.034,0.108,Peyami_Safa
TXT_0363,5.49,21.47,0.157,0.7,0.184,0.109,0.127,0.098,0.112,Peyami_Safa
TXT_0364,5.97,18.17,0.121,0.65,0.196,0.058,0.097,0.1,0.105,Peyami_Safa
TXT_0365,5.39,20.79,0.139,0.7,0.178,0.095,0.16,0.02,0.073,Peyami_Safa
TXT_0366,5.31,17.97,0.11,0.6,0.156,0.104,0.139,0.02,0.075,Halide_Edip
TXT_0367,6.14,23.93,0.146,0.68,0.196,0.055,0.174,0.09,0.096,Peyami_Safa
TXT_0368,5.63,17.3,0.111,0.64,0.178,0.096,0.163,0.056,0.133,Halide_Edip
TXT_0369,6.32,22.14,0.123,0.75,0.215,0.077,0.156,0.048,0.047,Ahmet_Hamdi
TXT_0370,4.92,15.8,0.12,0.73,0.133,0.05,0.177,0.086,0.141,Halide_Edip
TXT_0371,5.33,16.85,0.11,0.69,0.215,0.083,0.136,0.059,0.061,Peyami_Safa
TXT_0372,5.46,15.29,0.1,0.67,0.18,0.117,0.096,0.084,0.132,Halide_Edip
TXT_0373,5.37,18.57,0.153,0.79,0.197,0.065,0.082,0.043,0.048,Peyami_Safa
TXT_0374,5.58,20.94,0.13,0.7,0.238,0.076,0.137,0.035,0.064,Peyami_Safa
TXT_0375,5.71,16.23,0.116,0.68,0.205,0.066,0.16,0.068,0.075,Halide_Edip
TXT_0376,6.19,24.57,0.143,0.76,0.152,0.096,0.124,0.03,0.082,Peyami_Safa
TXT_0377,5.48,21.32,0.134,0.73,0.199,0.09,0.122,0.04,0.123,Peyami_Safa
TXT_0378,5.27,17.04,0.135,0.69,0.185,0.097,0.146,0.064,0.085,Halide_Edip
TXT_0379,5.47,16.67,0.113,0.61,0.191,0.058,0.118,0.085,0.131,Halide_Edip
TXT_0380,5.66,16.95,0.137,0.73,0.122,0.053,0.095,0.053,0.047,Halide_Edip
TXT_0381,6.14,21.65,0.15,0.69,0.128,0.054,0.129,0.098,0.098,Peyami_Safa
TXT_0382,5.42,18.84,0.112,0.75,0.213,0.1,0.17,0.067,0.09,Halide_Edip
TXT_0383,5.32,23.68,0.113,0.71,0.138,0.069,0.103,0.057,0.14,Peyami_Safa
TXT_0384,6.01,24.76,0.133,0.77,0.182,0.051,0.09,0.051,0.138,Ahmet_Hamdi
TXT_0385,6.07,24.93,0.14,0.69,0.102,0.053,0.146,0.085,0.058,Peyami_Safa
TXT_0386,6.1,22.4,0.142,0.77,0.129,0.12,0.166,0.042,0.06,Ahmet_Hamdi
TXT_0387,6.41,26.05,0.137,0.75,0.105,0.119,0.112,0.059,0.12,Ahmet_Hamdi
TXT_0388,5.58,14.76,0.122,0.68,0.126,0.059,0.132,0.094,0.131,Halide_Edip
TXT_0389,5.09,21.73,0.116,0.63,0.147,0.062,0.11,0.051,0.086,Halide_Edip
TXT_0390,5.1,17.75,0.107,0.75,0.232,0.112,0.115,0.089,0.132,Halide_Edip
TXT_0391,6.12,23.15,0.123,0.71,0.159,0.089,0.111,0.094,0.096,Peyami_Safa
TXT_0392,6.01,16.42,0.154,0.75,0.113,0.109,0.15,0.034,0.051,Peyami_Safa
TXT_0393,5.76,20.32,0.139,0.74,0.155,0.119,0.145,0.021,0.085,Peyami_Safa
TXT_0394,5.32,19.76,0.106,0.72,0.172,0.086,0.114,0.04,0.096,Halide_Edip
TXT_0395,5.66,20.85,0.139,0.75,0.142,0.051,0.121,0.076,0.113,Peyami_Safa
TXT_0396,5.81,24.77,0.14,0.72,0.11,0.069,0.107,0.085,0.04,Ahmet_Hamdi
TXT_0397,5.04,19.05,0.111,0.69,0.139,0.06,0.11,0.026,0.084,Halide_Edip
TXT_0398,5.81,20.63,0.113,0.69,0.195,0.108,0.089,0.091,0.056,Peyami_Safa
TXT_0399,5.59,21.34,0.09,0.62,0.2,0.069,0.159,0.069,0.126,Halide_Edip
TXT_0400,5.83,26.7,0.151,0.8,0.159,0.116,0.179,0.093,0.136,Ahmet_Hamdi
TXT_0401,6.46,26.32,0.163,0.82,0.104,0.053,0.092,0.078,0.107,Ahmet_Hamdi
TXT_0402,5.76,18.43,0.165,0.71,0.101,0.093,0.172,0.034,0.134,Ahmet_Hamdi
TXT_0403,5.59,20.78,0.122,0.82,0.168,0.102,0.127,0.07,0.105,Ahmet_Hamdi
TXT_0404,5.42,19.69,0.115,0.71,0.177,0.118,0.177,0.09,0.058,Peyami_Safa
TXT_0405,5.41,15.31,0.127,0.62,0.249,0.054,0.172,0.075,0.127,Halide_Edip
TXT_0406,4.96,16.77,0.096,0.71,0.183,0.061,0.138,0.053,0.142,Halide_Edip
TXT_0407,5.59,17.05,0.102,0.73,0.211,0.104,0.164,0.092,0.127,Halide_Edip
TXT_0408,5.54,18.05,0.129,0.71,0.131,0.084,0.136,0.095,0.114,Halide_Edip
TXT_0409,6.07,16.38,0.114,0.79,0.145,0.091,0.154,0.033,0.106,Peyami_Safa
TXT_0410,5.31,21.89,0.154,0.77,0.235,0.085,0.085,0.037,0.139,Peyami_Safa
TXT_0411,6.13,18.76,0.176,0.81,0.139,0.075,0.083,0.097,0.115,Ahmet_Hamdi
TXT_0412,5.38,14.67,0.119,0.69,0.23,0.065,0.17,0.036,0.066,Halide_Edip
TXT_0413,5.84,16.26,0.132,0.69,0.114,0.054,0.143,0.084,0.057,Peyami_Safa
TXT_0414,5.6,22.23,0.129,0.82,0.236,0.053,0.12,0.088,0.069,Ahmet_Hamdi
TXT_0415,5.66,20.65,0.125,0.72,0.237,0.117,0.148,0.071,0.041,Peyami_Safa
TXT_0416,5.79,16.95,0.118,0.72,0.243,0.107,0.163,0.098,0.082,Halide_Edip
TXT_0417,5.23,20.94,0.15,0.79,0.218,0.077,0.149,0.05,0.056,Peyami_Safa
TXT_0418,5.87,24.08,0.159,0.78,0.209,0.07,0.161,0.026,0.061,Ahmet_Hamdi
TXT_0419,5.09,16.23,0.106,0.7,0.153,0.059,0.132,0.046,0.101,Halide_Edip
TXT_0420,5.03,18.01,0.113,0.7,0.175,0.067,0.116,0.086,0.149,Halide_Edip
TXT_0421,6.39,20.78,0.139,0.73,0.119,0.09,0.088,0.037,0.105,Ahmet_Hamdi
TXT_0422,6.14,22.6,0.154,0.73,0.246,0.063,0.11,0.069,0.139,Peyami_Safa
TXT_0423,5.35,20.55,0.158,0.68,0.11,0.1,0.162,0.027,0.042,Peyami_Safa
TXT_0424,5.04,15.11,0.1,0.67,0.189,0.096,0.094,0.063,0.042,Halide_Edip
TXT_0425,6.13,19.08,0.126,0.75,0.131,0.078,0.086,0.06,0.142,Peyami_Safa
TXT_0426,5.95,23.25,0.151,0.76,0.122,0.06,0.142,0.096,0.042,Ahmet_Hamdi
TXT_0427,5.44,20.06,0.135,0.7,0.132,0.101,0.174,0.02,0.128,Halide_Edip
TXT_0428,6.07,21.67,0.129,0.69,0.193,0.087,0.119,0.087,0.065,Peyami_Safa
TXT_0429,6.18,19.1,0.12,0.76,0.122,0.059,0.162,0.067,0.118,Peyami_Safa
TXT_0430,5.94,21.59,0.152,0.66,0.21,0.093,0.1,0.064,0.078,Peyami_Safa
TXT_0431,5.58,23.47,0.127,0.8,0.207,0.12,0.129,0.045,0.052,Ahmet_Hamdi
TXT_0432,5.34,17.84,0.125,0.72,0.118,0.075,0.161,0.034,0.097,Halide_Edip
TXT_0433,5.68,23.8,0.129,0.66,0.23,0.108,0.134,0.053,0.144,Peyami_Safa
TXT_0434,5.85,21.65,0.127,0.8,0.184,0.05,0.089,0.058,0.09,Ahmet_Hamdi
TXT_0435,6.15,21.31,0.135,0.79,0.22,0.077,0.14,0.097,0.082,Ahmet_Hamdi
TXT_0436,4.81,18.84,0.138,0.7,0.243,0.083,0.171,0.083,0.069,Halide_Edip
TXT_0437,5.77,16.67,0.129,0.65,0.19,0.06,0.14,0.083,0.045,Halide_Edip
TXT_0438,5.72,19.82,0.179,0.75,0.103,0.055,0.159,0.045,0.075,Ahmet_Hamdi
TXT_0439,5.76,19.84,0.148,0.68,0.138,0.079,0.176,0.098,0.049,Peyami_Safa
TXT_0440,6.09,25.03,0.133,0.73,0.188,0.106,0.139,0.063,0.118,Ahmet_Hamdi
TXT_0441,5.8,19.99,0.116,0.64,0.151,0.098,0.151,0.097,0.048,Halide_Edip
TXT_0442,5.48,19.34,0.119,0.74,0.206,0.069,0.085,0.025,0.041,Peyami_Safa
TXT_0443,6.31,21.91,0.156,0.78,0.138,0.103,0.157,0.07,0.113,Ahmet_Hamdi
TXT_0444,5.51,15.65,0.132,0.64,0.147,0.075,0.122,0.097,0.092,Halide_Edip
TXT_0445,6.07,18.42,0.163,0.72,0.175,0.083,0.087,0.084,0.085,Ahmet_Hamdi
TXT_0446,5.52,19.54,0.149,0.78,0.186,0.09,0.082,0.064,0.128,Peyami_Safa
TXT_0447,5.28,16.59,0.122,0.79,0.154,0.066,0.142,0.06,0.147,Peyami_Safa
TXT_0448,5.28,21.22,0.108,0.7,0.234,0.064,0.114,0.093,0.118,Halide_Edip
TXT_0449,5.95,16.57,0.146,0.71,0.133,0.119,0.122,0.046,0.097,Peyami_Safa
TXT_0450,6.21,24.94,0.174,0.77,0.207,0.077,0.148,0.043,0.069,Ahmet_Hamdi
TXT_0451,4.96,14.33,0.135,0.63,0.195,0.11,0.18,0.048,0.054,Halide_Edip
TXT_0452,6.19,24.69,0.119,0.73,0.226,0.084,0.125,0.07,0.052,Peyami_Safa
TXT_0453,5.03,18.73,0.13,0.69,0.197,0.106,0.085,0.068,0.064,Halide_Edip
TXT_0454,5.6,25.89,0.173,0.8,0.145,0.117,0.131,0.084,0.043,Ahmet_Hamdi
TXT_0455,6.2,20.97,0.153,0.77,0.242,0.115,0.114,0.074,0.074,Peyami_Safa
TXT_0456,5.58,21.99,0.159,0.76,0.135,0.082,0.15,0.024,0.134,Peyami_Safa
TXT_0457,5.83,24.49,0.124,0.78,0.222,0.091,0.155,0.037,0.095,Peyami_Safa
TXT_0458,5.65,21.95,0.141,0.75,0.129,0.056,0.096,0.081,0.07,Peyami_Safa
TXT_0459,6.0,20.92,0.178,0.81,0.234,0.083,0.104,0.057,0.071,Ahmet_Hamdi
TXT_0460,5.02,14.84,0.124,0.62,0.231,0.082,0.175,0.035,0.071,Halide_Edip
TXT_0461,5.64,22.39,0.114,0.78,0.101,0.087,0.17,0.091,0.068,Peyami_Safa
TXT_0462,5.62,23.29,0.161,0.75,0.167,0.054,0.175,0.044,0.071,Ahmet_Hamdi
TXT_0463,5.63,22.1,0.178,0.82,0.135,0.099,0.093,0.068,0.114,Ahmet_Hamdi
TXT_0464,5.7,24.91,0.111,0.73,0.211,0.06,0.148,0.098,0.075,Peyami_Safa
TXT_0465,6.48,27.08,0.177,0.84,0.128,0.106,0.089,0.096,0.1,Ahmet_Hamdi
TXT_0466,5.32,22.64,0.146,0.79,0.13,0.107,0.152,0.045,0.116,Peyami_Safa
TXT_0467,6.05,18.33,0.126,0.66,0.161,0.098,0.169,0.038,0.107,Peyami_Safa
TXT_0468,5.35,15.63,0.138,0.7,0.214,0.095,0.175,0.041,0.126,Halide_Edip
TXT_0469,5.41,20.35,0.115,0.69,0.232,0.088,0.124,0.091,0.131,Peyami_Safa
TXT_0470,6.0,19.8,0.137,0.79,0.182,0.109,0.086,0.034,0.137,Peyami_Safa
TXT_0471,5.8,20.96,0.117,0.72,0.228,0.062,0.109,0.072,0.048,Halide_Edip
TXT_0472,5.95,24.04,0.158,0.76,0.161,0.099,0.082,0.082,0.137,Ahmet_Hamdi
TXT_0473,5.3,21.6,0.128,0.66,0.232,0.117,0.097,0.023,0.108,Halide_Edip
TXT_0474,5.78,20.7,0.162,0.71,0.157,0.061,0.107,0.094,0.071,Ahmet_Hamdi
TXT_0475,5.62,18.24,0.1,0.63,0.194,0.061,0.093,0.058,0.094,Halide_Edip
TXT_0476,5.96,20.3,0.174,0.72,0.198,0.081,0.146,0.029,0.075,Ahmet_Hamdi
TXT_0477,5.91,18.35,0.165,0.72,0.139,0.086,0.144,0.077,0.142,Ahmet_Hamdi
TXT_0478,5.28,20.99,0.132,0.68,0.101,0.069,0.179,0.079,0.085,Peyami_Safa
TXT_0479,5.07,15.78,0.13,0.7,0.133,0.076,0.093,0.055,0.079,Halide_Edip
TXT_0480,6.22,26.71,0.152,0.8,0.101,0.096,0.134,0.04,0.053,Ahmet_Hamdi
TXT_0481,5.96,24.54,0.139,0.71,0.172,0.074,0.1,0.062,0.146,Ahmet_Hamdi
TXT_0482,5.25,19.64,0.111,0.61,0.135,0.059,0.149,0.045,0.061,Halide_Edip
TXT_0483,5.42,21.49,0.119,0.66,0.134,0.069,0.111,0.059,0.116,Peyami_Safa
TXT_0484,5.94,23.65,0.158,0.74,0.237,0.062,0.148,0.025,0.1,Peyami_Safa
TXT_0485,5.7,19.25,0.134,0.7,0.114,0.069,0.146,0.089,0.044,Halide_Edip
TXT_0486,5.95,21.96,0.136,0.79,0.245,0.082,0.161,0.038,0.135,Ahmet_Hamdi
TXT_0487,6.25,19.0,0.167,0.81,0.191,0.074,0.166,0.054,0.138,Ahmet_Hamdi
TXT_0488,5.97,22.76,0.138,0.81,0.209,0.093,0.146,0.047,0.142,Ahmet_Hamdi
TXT_0489,5.47,16.31,0.142,0.78,0.166,0.066,0.123,0.04,0.116,Peyami_Safa
TXT_0490,5.19,20.23,0.114,0.7,0.192,0.098,0.132,0.024,0.092,Halide_Edip
TXT_0491,5.96,18.03,0.113,0.7,0.113,0.091,0.143,0.091,0.042,Peyami_Safa
TXT_0492,6.33,26.53,0.178,0.76,0.155,0.101,0.115,0.088,0.121,Ahmet_Hamdi
TXT_0493,5.02,17.19,0.108,0.75,0.224,0.082,0.136,0.043,0.147,Halide_Edip
TXT_0494,6.15,17.11,0.117,0.68,0.126,0.105,0.152,0.074,0.1,Peyami_Safa
TXT_0495,5.52,20.26,0.142,0.69,0.206,0.09,0.151,0.08,0.14,Peyami_Safa
TXT_0496,5.7,15.26,0.126,0.69,0.191,0.087,0.134,0.084,0.046,Halide_Edip
TXT_0497,5.6,19.83,0.096,0.65,0.156,0.075,0.115,0.026,0.062,Halide_Edip
TXT_0498,5.48,15.83,0.116,0.73,0.146,0.1,0.17,0.033,0.103,Halide_Edip
TXT_0499,4.9,16.15,0.096,0.66,0.226,0.097,0.16,0.043,0.049,Halide_Edip
TXT_0500,6.13,17.43,0.121,0.79,0.233,0.072,0.147,0.071,0.053,Peyami_Safa
TXT_0501,5.59,22.21,0.127,0.7,0.213,0.07,0.128,0.044,0.138,Peyami_Safa
TXT_0502,4.88,16.22,0.125,0.75,0.231,0.069,0.143,0.068,0.127,Halide_Edip
TXT_0503,5.11,14.09,0.127,0.63,0.155,0.118,0.146,0.087,0.086,Halide_Edip
TXT_0504,5.3,16.79,0.128,0.63,0.11,0.06,0.146,0.097,0.049,Halide_Edip
TXT_0505,5.84,25.54,0.121,0.74,0.2,0.116,0.123,0.094,0.061,Ahmet_Hamdi
TXT_0506,5.53,15.71,0.131,0.64,0.245,0.077,0.148,0.087,0.045,Halide_Edip
TXT_0507,5.18,16.42,0.103,0.6,0.248,0.066,0.146,0.041,0.143,Halide_Edip
TXT_0508,5.72,20.05,0.143,0.76,0.21,0.072,0.084,0.1,0.08,Peyami_Safa
TXT_0509,5.51,26.57,0.167,0.74,0.113,0.056,0.172,0.047,0.11,Ahmet_Hamdi
TXT_0510,5.34,20.42,0.111,0.7,0.132,0.1,0.152,0.073,0.098,Halide_Edip
TXT_0511,5.08,18.8,0.098,0.62,0.127,0.109,0.172,0.095,0.048,Halide_Edip
TXT_0512,5.25,17.7,0.107,0.73,0.118,0.063,0.162,0.079,0.122,Halide_Edip
TXT_0513,6.5,23.83,0.124,0.72,0.239,0.098,0.14,0.054,0.147,Ahmet_Hamdi
TXT_0514,5.84,24.88,0.138,0.76,0.217,0.076,0.172,0.047,0.112,Peyami_Safa
TXT_0515,4.99,15.49,0.103,0.66,0.179,0.104,0.144,0.036,0.097,Halide_Edip
TXT_0516,5.84,20.77,0.118,0.77,0.117,0.099,0.117,0.046,0.135,Peyami_Safa
TXT_0517,5.78,17.96,0.111,0.69,0.145,0.111,0.129,0.068,0.053,Peyami_Safa
TXT_0518,5.9,20.35,0.149,0.8,0.239,0.093,0.083,0.068,0.103,Ahmet_Hamdi
TXT_0519,6.03,21.66,0.153,0.65,0.188,0.099,0.14,0.037,0.082,Peyami_Safa
TXT_0520,6.31,20.31,0.144,0.7,0.171,0.081,0.139,0.076,0.121,Ahmet_Hamdi
TXT_0521,5.12,18.53,0.128,0.71,0.211,0.105,0.176,0.066,0.089,Halide_Edip
TXT_0522,5.48,17.41,0.117,0.68,0.159,0.072,0.124,0.09,0.105,Halide_Edip
TXT_0523,5.6,20.18,0.122,0.72,0.21,0.07,0.096,0.048,0.126,Peyami_Safa
TXT_0524,6.39,21.33,0.145,0.72,0.108,0.101,0.15,0.037,0.093,Ahmet_Hamdi
TXT_0525,6.08,18.75,0.124,0.85,0.215,0.079,0.141,0.042,0.074,Ahmet_Hamdi
